,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,3/8,3/4,1-3,3-6
0,0,0,0,0,0,0,0,0,34.60672995812645,0,0,46.40319106502229
1,1,1,1,1,1,1,1,1,36.322609650684925,0,0,37.41770638271726
2,2,2,2,2,2,2,2,2,36.19932975143715,0,0,47.87072985444425
3,3,3,3,3,3,3,3,3,33.55366408952166,0,0,32.67911826754049
4,4,4,4,4,4,4,4,4,27.757558025205007,0,0,31.50191128403964
5,5,5,5,5,5,5,5,5,30.38862335068037,0,0,33.80799793976652
6,6,6,6,6,6,6,6,6,33.08221669717217,0,0,43.77582618017367
7,7,7,7,7,7,7,7,7,31.41596260329065,0,0,52.38223694660263
8,8,8,8,8,8,8,8,8,34.38831916346561,0,0,41.61802109472918
9,9,9,9,9,9,9,9,9,32.498400116750474,0,0,50.52731891681269
